Date,Year,Month,Hour Ending,Electricity Price
2009-07-11 00:00:00,2009,7,6,21.81
2009-07-11 00:00:00,2009,7,7,21.66
2009-07-11 00:00:00,2009,7,8,22.83
2009-07-11 00:00:00,2009,7,9,15.6
2009-07-11 00:00:00,2009,7,10,23.1
2009-07-11 00:00:00,2009,7,11,48.58
2009-07-11 00:00:00,2009,7,12,46.18
2009-07-11 00:00:00,2009,7,13,53.68
2009-07-11 00:00:00,2009,7,14,28.01
2009-07-11 00:00:00,2009,7,15,25.78
2009-07-11 00:00:00,2009,7,16,44.32
2009-07-11 00:00:00,2009,7,17,56.15
2009-07-11 00:00:00,2009,7,18,54.46
2009-07-11 00:00:00,2009,7,19,31.74
2009-07-11 00:00:00,2009,7,20,25.69
2009-07-11 00:00:00,2009,7,21,28.59
2009-07-11 00:00:00,2009,7,22,31.24
2009-07-11 00:00:00,2009,7,23,25.75
2009-07-11 00:00:00,2009,7,24,23.74
2009-07-12 00:00:00,2009,7,1,22.93
2009-07-12 00:00:00,2009,7,2,24.32
2009-07-12 00:00:00,2009,7,3,18.62
2009-07-12 00:00:00,2009,7,4,21.47
2009-07-12 00:00:00,2009,7,5,19.38
2009-07-12 00:00:00,2009,7,6,-3.19
2009-07-12 00:00:00,2009,7,7,-17.23
2009-07-12 00:00:00,2009,7,8,19.58
2009-07-12 00:00:00,2009,7,9,9.95
2009-07-12 00:00:00,2009,7,10,11.88
2009-07-12 00:00:00,2009,7,11,19.11
2009-07-12 00:00:00,2009,7,12,27.09
2009-07-12 00:00:00,2009,7,13,27.48
2009-07-12 00:00:00,2009,7,14,36.4
2009-07-12 00:00:00,2009,7,15,38.96
2009-07-12 00:00:00,2009,7,16,37.17
2009-07-12 00:00:00,2009,7,17,43.2
2009-07-12 00:00:00,2009,7,18,36.98
2009-07-12 00:00:00,2009,7,19,34.39
2009-07-12 00:00:00,2009,7,20,34.17
2009-07-12 00:00:00,2009,7,21,30.1
2009-07-12 00:00:00,2009,7,22,29.71
2009-07-12 00:00:00,2009,7,23,26.31
2009-07-12 00:00:00,2009,7,24,19.17
2009-07-13 00:00:00,2009,7,1,20.88
2009-07-13 00:00:00,2009,7,2,17.92
2009-07-13 00:00:00,2009,7,3,8.02
2009-07-13 00:00:00,2009,7,4,6.54
2009-07-13 00:00:00,2009,7,5,11.22
2009-07-13 00:00:00,2009,7,6,19.23
2009-07-13 00:00:00,2009,7,7,13.98
2009-07-13 00:00:00,2009,7,8,20.52
2009-07-13 00:00:00,2009,7,9,22.35
2009-07-13 00:00:00,2009,7,10,24.26
2009-07-13 00:00:00,2009,7,11,35.1
2009-07-13 00:00:00,2009,7,12,37.35
2009-07-13 00:00:00,2009,7,13,31.57
2009-07-13 00:00:00,2009,7,14,34.1
2009-07-13 00:00:00,2009,7,15,35.31
2009-07-13 00:00:00,2009,7,16,37.48
2009-07-13 00:00:00,2009,7,17,39.39
2009-07-13 00:00:00,2009,7,18,33.58
2009-07-13 00:00:00,2009,7,19,39.53
2009-07-13 00:00:00,2009,7,20,33.07
2009-07-13 00:00:00,2009,7,21,28.38
2009-07-13 00:00:00,2009,7,22,26.89
2009-07-13 00:00:00,2009,7,23,26.23
2009-07-13 00:00:00,2009,7,24,22.59
2009-07-14 00:00:00,2009,7,1,23.46
2009-07-14 00:00:00,2009,7,2,19.69
2009-07-14 00:00:00,2009,7,3,10.52
2009-07-14 00:00:00,2009,7,4,11.52
2009-07-14 00:00:00,2009,7,5,-6.42
2009-07-14 00:00:00,2009,7,6,19.9
2009-07-14 00:00:00,2009,7,7,19.68
2009-07-14 00:00:00,2009,7,8,24.76
2009-07-14 00:00:00,2009,7,9,27.52
2009-07-14 00:00:00,2009,7,10,248.23
2009-07-14 00:00:00,2009,7,11,162.5
2009-07-14 00:00:00,2009,7,12,72.05
2009-07-14 00:00:00,2009,7,13,33.58
2009-07-14 00:00:00,2009,7,14,34.21
2009-07-14 00:00:00,2009,7,15,41.8
2009-07-14 00:00:00,2009,7,16,408.79
2009-07-14 00:00:00,2009,7,17,163.89
2009-07-14 00:00:00,2009,7,18,35.99
2009-07-14 00:00:00,2009,7,19,35.99
2009-07-14 00:00:00,2009,7,20,32.52
2009-07-14 00:00:00,2009,7,21,32.92
2009-07-14 00:00:00,2009,7,22,30.53
2009-07-14 00:00:00,2009,7,23,28.63
2009-07-14 00:00:00,2009,7,24,23.64
2009-07-15 00:00:00,2009,7,1,22.96
2009-07-15 00:00:00,2009,7,2,13.59
2009-07-15 00:00:00,2009,7,3,19.22
2009-07-15 00:00:00,2009,7,4,19.41
2009-07-15 00:00:00,2009,7,5,19.28
2009-07-15 00:00:00,2009,7,6,19.81
2009-07-15 00:00:00,2009,7,7,17.03
2009-07-15 00:00:00,2009,7,8,22.99
2009-07-15 00:00:00,2009,7,9,26.64
2009-07-15 00:00:00,2009,7,10,30.98
2009-07-15 00:00:00,2009,7,11,34.97
2009-07-15 00:00:00,2009,7,12,35.79
2009-07-15 00:00:00,2009,7,13,33.6
2009-07-15 00:00:00,2009,7,14,33.79
2009-07-15 00:00:00,2009,7,15,34.77
2009-07-15 00:00:00,2009,7,16,36.4
2009-07-15 00:00:00,2009,7,17,35.97
2009-07-15 00:00:00,2009,7,18,33.23
2009-07-15 00:00:00,2009,7,19,32.71
2009-07-15 00:00:00,2009,7,20,32.38
2009-07-15 00:00:00,2009,7,21,31.67
2009-07-15 00:00:00,2009,7,22,31.04
2009-07-15 00:00:00,2009,7,23,28.45
2009-07-15 00:00:00,2009,7,24,23.17
2009-07-16 00:00:00,2009,7,1,25.63
2009-07-16 00:00:00,2009,7,2,12.94
2009-07-16 00:00:00,2009,7,3,10
2009-07-16 00:00:00,2009,7,4,21.04
2009-07-16 00:00:00,2009,7,5,21.69
2009-07-16 00:00:00,2009,7,6,21.38
2009-07-16 00:00:00,2009,7,7,7.77
2009-07-16 00:00:00,2009,7,8,22.87
2009-07-16 00:00:00,2009,7,9,25.67
2009-07-16 00:00:00,2009,7,10,29.38
2009-07-16 00:00:00,2009,7,11,33.44
2009-07-16 00:00:00,2009,7,12,35.34
2009-07-16 00:00:00,2009,7,13,35.66
2009-07-16 00:00:00,2009,7,14,61.48
2009-07-16 00:00:00,2009,7,15,39.66
2009-07-16 00:00:00,2009,7,16,39.87
2009-07-16 00:00:00,2009,7,17,39.89
2009-07-16 00:00:00,2009,7,18,38.36
2009-07-16 00:00:00,2009,7,19,36.73
2009-07-16 00:00:00,2009,7,20,34.94
2009-07-16 00:00:00,2009,7,21,34.38
2009-07-16 00:00:00,2009,7,22,32.88
2009-07-16 00:00:00,2009,7,23,29.36
2009-07-16 00:00:00,2009,7,24,26.81
2009-07-17 00:00:00,2009,7,1,23.43
2009-07-17 00:00:00,2009,7,2,22.98
2009-07-17 00:00:00,2009,7,3,19.47
2009-07-17 00:00:00,2009,7,4,2.77
2009-07-17 00:00:00,2009,7,5,10.16
2009-07-17 00:00:00,2009,7,6,20.74
2009-07-17 00:00:00,2009,7,7,5.46
2009-07-17 00:00:00,2009,7,8,10.9
2009-07-17 00:00:00,2009,7,9,24.57
2009-07-17 00:00:00,2009,7,10,30.04
2009-07-17 00:00:00,2009,7,11,34.29
2009-07-17 00:00:00,2009,7,12,35.4
2009-07-17 00:00:00,2009,7,13,37.26
2009-07-17 00:00:00,2009,7,14,37.55
2009-07-17 00:00:00,2009,7,15,43.53
2009-07-17 00:00:00,2009,7,16,175.91
2009-07-17 00:00:00,2009,7,17,48.41
2009-07-17 00:00:00,2009,7,18,39.85
2009-07-17 00:00:00,2009,7,19,38.19
2009-07-17 00:00:00,2009,7,20,34.22
2009-07-17 00:00:00,2009,7,21,34.27
2009-07-17 00:00:00,2009,7,22,32.77
2009-07-17 00:00:00,2009,7,23,99.02
2009-07-17 00:00:00,2009,7,24,26.35
2009-07-18 00:00:00,2009,7,1,26.11
2009-07-18 00:00:00,2009,7,2,22.9
2009-07-18 00:00:00,2009,7,3,24.12
2009-07-18 00:00:00,2009,7,4,22.96
2009-07-18 00:00:00,2009,7,5,24.04
2009-07-18 00:00:00,2009,7,6,23.83
2009-07-18 00:00:00,2009,7,7,-10.43
2009-07-18 00:00:00,2009,7,8,8.7
2009-07-18 00:00:00,2009,7,9,25.87
2009-07-18 00:00:00,2009,7,10,30.35
2009-07-18 00:00:00,2009,7,11,40.27
2009-07-18 00:00:00,2009,7,12,71.45
2009-07-18 00:00:00,2009,7,13,56.99
2009-07-18 00:00:00,2009,7,14,41.7
2009-07-18 00:00:00,2009,7,15,156.17
2009-07-18 00:00:00,2009,7,16,396.02
2009-07-18 00:00:00,2009,7,17,320.23
2009-07-18 00:00:00,2009,7,18,416.17
2009-07-18 00:00:00,2009,7,19,41.76
2009-07-18 00:00:00,2009,7,20,39.47
2009-07-18 00:00:00,2009,7,21,40
2009-07-18 00:00:00,2009,7,22,35.68
2009-07-18 00:00:00,2009,7,23,34.61
2009-07-18 00:00:00,2009,7,24,30.8
2009-07-19 00:00:00,2009,7,1,29.43
2009-07-19 00:00:00,2009,7,2,27.2
2009-07-19 00:00:00,2009,7,3,25.8
2009-07-19 00:00:00,2009,7,4,26.39
2009-07-19 00:00:00,2009,7,5,24.25
2009-07-19 00:00:00,2009,7,6,23.99
2009-07-19 00:00:00,2009,7,7,22.76
2009-07-19 00:00:00,2009,7,8,24.88
2009-07-19 00:00:00,2009,7,9,27.54
2009-07-19 00:00:00,2009,7,10,31.91
2009-07-19 00:00:00,2009,7,11,35.47
2009-07-19 00:00:00,2009,7,12,37.93
2009-07-19 00:00:00,2009,7,13,41.42
2009-07-19 00:00:00,2009,7,14,47.43
2009-07-19 00:00:00,2009,7,15,95.09
2009-07-19 00:00:00,2009,7,16,74.4
2009-07-19 00:00:00,2009,7,17,63.94
2009-07-19 00:00:00,2009,7,18,51.51
2009-07-19 00:00:00,2009,7,19,47.92
2009-07-19 00:00:00,2009,7,20,36.3
2009-07-19 00:00:00,2009,7,21,39.36
2009-07-19 00:00:00,2009,7,22,37.56
2009-07-19 00:00:00,2009,7,23,32.38
2009-07-19 00:00:00,2009,7,24,30.11
2009-07-20 00:00:00,2009,7,1,25.04
2009-07-20 00:00:00,2009,7,2,22.99
2009-07-20 00:00:00,2009,7,3,-17.58
2009-07-20 00:00:00,2009,7,4,-30.13
2009-07-20 00:00:00,2009,7,5,-18.3
2009-07-20 00:00:00,2009,7,6,13.71
2009-07-20 00:00:00,2009,7,7,19.98
2009-07-20 00:00:00,2009,7,8,23.71
2009-07-20 00:00:00,2009,7,9,32.98
2009-07-20 00:00:00,2009,7,10,35.22
2009-07-20 00:00:00,2009,7,11,39.02
2009-07-20 00:00:00,2009,7,12,37.22
2009-07-20 00:00:00,2009,7,13,81.64
2009-07-20 00:00:00,2009,7,14,37.81
2009-07-20 00:00:00,2009,7,15,39.95
2009-07-20 00:00:00,2009,7,16,42.68
2009-07-20 00:00:00,2009,7,17,35.85
2009-07-20 00:00:00,2009,7,18,37.83
2009-07-20 00:00:00,2009,7,19,36.58
2009-07-20 00:00:00,2009,7,20,36.15
2009-07-20 00:00:00,2009,7,21,36.02
2009-07-20 00:00:00,2009,7,22,34.91
2009-07-20 00:00:00,2009,7,23,32.59
2009-07-20 00:00:00,2009,7,24,27.99
2009-07-21 00:00:00,2009,7,1,25.07
2009-07-21 00:00:00,2009,7,2,21.9
2009-07-21 00:00:00,2009,7,3,19.46
2009-07-21 00:00:00,2009,7,4,17.32
2009-07-21 00:00:00,2009,7,5,22.85
2009-07-21 00:00:00,2009,7,6,25.69
2009-07-21 00:00:00,2009,7,7,22.31
